iter	Passed	Remaining
0	1	132
1	2	134
2	4	136
3	5	125
4	6	124
5	7	120
6	9	120
7	10	122
8	12	122
9	13	120
10	14	117
11	15	116
12	17	114
13	18	112
14	19	110
15	20	108
16	21	106
17	22	104
18	23	102
19	25	100
20	26	98
21	27	97
22	28	95
23	29	93
24	30	92
25	31	90
26	32	89
27	34	87
28	35	85
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	42	78
35	43	77
36	44	75
37	45	74
38	46	73
39	48	72
40	49	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	60
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	26
78	93	24
79	94	23
80	96	22
81	97	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	109	12
90	110	10
91	112	9
92	113	8
93	114	7
94	116	6
95	117	4
96	119	3
97	120	2
98	121	1
99	123	0
